	CHEMBL16081	CHEMBL6466	CHEMBL545	CHEMBL573	CHEMBL273386	CHEMBL16	CHEMBL95	CHEMBL112	CHEMBL20	CHEMBL190	CHEMBL633	CHEMBL629	CHEMBL25	CHEMBL1542	CHEMBL1089221	CHEMBL388590	CHEMBL49	CHEMBL113	CHEMBL108	CHEMBL1200714	CHEMBL505	CHEMBL71	CHEMBL498	CHEMBL30	CHEMBL8	CHEMBL565	CHEMBL415	CHEMBL88	CHEMBL12	CHEMBL139	CHEMBL517	CHEMBL964	CHEMBL109	CHEMBL1628227	CHEMBL902	CHEMBL672	CHEMBL726	CHEMBL806	CHEMBL35	CHEMBL457	CHEMBL472	CHEMBL54	CHEMBL896	CHEMBL521	CHEMBL11	CHEMBL6	CHEMBL92401	CHEMBL64	CHEMBL429	CHEMBL514	CHEMBL686	CHEMBL1431	CHEMBL1411979	4CHEMBL16081	CHEMBL159226	CHEMBL23832	CHEMBL623	CHEMBL193	CHEMBL56367	CHEMBL1503	CHEMBL19224	CHEMBL1177	CHEMBL75880	CHEMBL16073	CHEMBL40	CHEMBL101	CHEMBL643	CHEMBL27	CHEMBL1790041	CHEMBL421	CHEMBL26	CHEMBL479	CHEMBL833	CHEMBL1314	CHEMBL782	CHEMBL646	CHEMBL695	CHEMBL637	CHEMBL295416	CHEMBL384467	CHEMBL1430	CHEMBLCHEMBL51769	CHEMBL164290	CHEMBL44814	CHEMBLCHEMBL6338	CHEMBL130	CHEMBL691	CHEMBL1395	CHEMBL165908	CHEMBL107	CHEMBL123292	CHEMBL232201	CHEMBL429023	CHEMBL502074	CHEMBL85728	CHEMBL1697693	CHEMBL234926	CHEMBL16068	CHEMBL228514	CHEMBL521035	CHEMBL2766015	CHEMBL1381098	CHEMBL351487	CHEMBL288958	CHEMBL44884	CHEMBL1697856	CHEMBL203187	CHEMBL1479	CHEMBL5CHEMBL457	CHEMBL44657	CHEMBL459	CHEMBL23	CHEMBL1560	CHEMBL295698	CHEMBL1064	CHEMBL54349	CHEMBL1201082	CHEMBL1201097	CHEMBL1201096	CHEMBL1609891	CHEMBL154	CHEMBL1201093	CHEMBL1201088	CHEMBL1201089	CHEMBL1697694	CHEMBL562	CHEMBL1200688	CHEMBL1566	CHEMBL986	CHEMBL606759	CHEMBL15770	CHEMBL822	CHEMBL83	CHEMBL2037000	CHEMBL267345	CHEMBL843	CHEMBL160	CHEMBL1697830	CHEMBL578	CHEMBL869	CHEMBL572	CHEMBL1201288	CHEMBL506247	CHEMBL502682	CHEMBL505513	CHEMBL1440	CHEMBL599	CHEMBL1CHEMBL29541687	CHEMBL2105617	CHEMBL374478	CHEMBL42
CHEMBL154	0.92	0.32	0.91	0.63	0.6	0.55	0.67	0.55	0.92	0.91	0.38	0.55	0.3	0.93	0.55	0.37	0.81	0.9	0.64	0.65	0.7	0.74	0.7	0.93	0.61	0.42	0.67	0.91	0.66	0.53	0.64	0.94	0.72	0.34	0.91	0.34	0.68	0.65	0.56	0.25	0.51	0.48	0.62	0.32	0.64	0.49	0.71	0.72	0.44	0.9	0.47	0.96	0.79	0.4	0.33	0.5	0.61	0.52	0.56	0.66	0.49	0.45	0.84	0.52	0.54	0.62	0.72	0.35	0.6	0.61	0.5	0.73	0.69	0.86	0.64	0.72	0.86	0.3	0.67	0.57	0.81	0.6	0.94	1	0.53	0.6	0.33	0.55	0.9	0.46	0.72	0.32	0.37	0.29	0.61	0.97	0.85	0.67	0.76	0.67	0.78	0.59	0.61	0.95	0.87	0.5	0.84	0.55	0.39	0.33	0.35	0.47	0.81	0.62	0.53	0.71	0.4	0.78	1	0.84	0	0.81	0.64	0.42	0.33	0.45	0.73	0.74	0.67	0.84	0.42	0.54	0.35	0.76	0.61	0.55	0.73	0.58	0.52	0.62	0.65	0.56	0.4	0.69	0.76	0.44	0.65	0.74	0.63	0.52	0.72
CHEMBL1201093	0.66	0.83	0.8	0.8	0.86	0.79	0.9	0.8	0.8	0.83	0.81	0.86	0.81	0.91	0.85	0.85	0.83	0.85	0.85	0.81	0.89	0.88	0.8	0.87	0.77	0.79	0.87	0.68	0.84	0.79	0.83	0.78	0.58	0.83	0.87	0.81	0.88	0.82	0.8	0.8	0.81	0.79	0.83	0.77	0.87	0.84	0.82	0.84	0.79	0.69	0.79	0.81	0.9	0.79	0.79	0.79	0.85	0.76	0.83	0.88	0.86	0.76	0.74	0.8	0.78	0.81	0.88	0.82	0.76	0.85	0.8	0.89	0.88	0.57	0.8	0.9	0.64	0.8	0.85	0.8	0.47	0.84	0.74	0.98	0.88	0.8	0.89	0.77	0.7	0.8	0.63	0.84	0.85	0.86	0.86	0.74	0.83	0.91	0.94	0.69	0.73	0.9	0.88	0.78	0.65	0.8	0.5	0.82	0.81	0.85	0.74	0.81	0.55	0.87	0.73	0.87	0.79	0.67	1	0.56	0.81	0	0.88	0.75	0.83	0.85	0.66	0.74	0.83	0.6	0.81	0.86	0.83	0.68	0.7	0.83	0.67	0.78	0.69	0.8	0.82	0.82	0.85	0.83	0.76	0.8	0.86	0.85	0.85	0.84	0.88
CHEMBL1201088	0.92	0.64	0.95	0.53	0.57	0.46	0.31	0.49	0.91	0.79	0.63	0.35	0.67	0.79	0.51	0.69	0.65	0.78	0.29	0.51	0.32	0.4	0.61	0.77	0.48	0.7	0.26	0.88	0.29	0.45	0.36	0.84	0.85	0.52	0.78	0.66	0.4	0.41	0.62	0.66	0.61	0.55	0.43	0.56	0.17	0.56	0.47	0.48	0.56	0.81	0.45	0.86	0.51	0.59	0.6	0.45	0.52	0.48	0.58	0.59	0.49	0.56	0.69	0.52	0.5	0.35	0.35	0.59	0.66	0.58	0.62	0.38	0.5	0.88	0.52	0.42	0.86	0.5	0.5	0.75	0.88	0.31	0.86	1	0.51	0.5	0.62	0.73	0.88	0.63	0.8	0.67	0.69	0.62	0.22	0.92	0.89	0.6	0.71	0.74	0.8	0.32	0.35	0.92	0.84	0.54	0.9	0.61	0.69	0.7	0.6	0.51	0.84	0.57	0.73	0.51	0.54	0.81	1	0.88	0.64	0.88	0	0.56	0.69	0.72	0.8	0.73	0.67	0.88	0.6	0.34	0.52	0.87	0.74	0.59	0.72	0.74	0.55	0.67	0.68	0.58	0.72	0.56	0.73	0.61	0.62	0.63	0.47	0.63	0.34
CHEMBL1201089	0.89	0.46	0.9	0.59	0.62	0.55	0.67	0.58	0.89	0.87	0.39	0.47	0.41	0.9	0.53	0.49	0.76	0.86	0.6	0.58	0.64	0.68	0.64	0.89	0.56	0.47	0.59	0.85	0.59	0.53	0.6	0.87	0.72	0.38	0.89	0.39	0.59	0.63	0.56	0.39	0.53	0.42	0.46	0.4	0.55	0.57	0.67	0.68	0.42	0.84	0.49	0.91	0.74	0.42	0.35	0.49	0.58	0.47	0.6	0.68	0.58	0.38	0.78	0.57	0.54	0.58	0.65	0.4	0.59	0.6	0.52	0.67	0.63	0.79	0.57	0.69	0.75	0.36	0.67	0.58	0.76	0.59	0.88	1	0.56	0.5	0.51	0.63	0.8	0.5	0.65	0.46	0.46	0.45	0.59	0.93	0.84	0.67	0.76	0.4	0.78	0.62	0.61	0.91	0.78	0.52	0.79	0.6	0.4	0.45	0.43	0.44	0.74	0.58	0.49	0.68	0.42	0.65	1	0.78	0.42	0.75	0.56	0	0.45	0.48	0.51	0.56	0.64	0.71	0.47	0.53	0.34	0.73	0.44	0.55	0.6	0.62	0.4	0.65	0.66	0.6	0.45	0.59	0.6	0.4	0.61	0.7	0.56	0.54	0.65
CHEMBL1697694	0.93	0.33	0.93	0.68	0.66	0.61	0.73	0.63	0.92	0.9	0.35	0.64	0.3	0.92	0.57	0.37	0.82	0.89	0.7	0.69	0.73	0.77	0.73	0.93	0.63	0.45	0.71	0.92	0.7	0.63	0.69	0.95	0.78	0.4	0.91	0.36	0.72	0.69	0.57	0.34	0.53	0.56	0.67	0.48	0.69	0.55	0.73	0.74	0.47	0.91	0.58	0.97	0.81	0.42	0.36	0.58	0.62	0.53	0.59	0.67	0.58	0.51	0.86	0.54	0.6	0.65	0.76	0.46	0.59	0.62	0.5	0.76	0.71	0.89	0.68	0.75	0.86	0.42	0.73	0.6	0.86	0.66	0.95	1	0.59	0.65	0.48	0.62	0.9	0.43	0.74	0.33	0.24	0.41	0.68	0.97	0.88	0.72	0.79	0.62	0.79	0.69	0.67	0.95	0.9	0.54	0.88	0.59	0.37	0.28	0.47	0.51	0.84	0.6	0.56	0.73	0.45	0.76	1	0.88	0.33	0.83	0.69	0.45	0	0.3	0.66	0.69	0.71	0.81	0.53	0.65	0.42	0.75	0.55	0.55	0.75	0.63	0.55	0.6	0.63	0.55	0.34	0.7	0.69	0.46	0.67	0.75	0.62	0.47	0.75
CHEMBL562	0.94	0.46	0.94	0.71	0.69	0.65	0.77	0.67	0.92	0.9	0.36	0.67	0.38	0.93	0.6	0.39	0.83	0.89	0.73	0.67	0.7	0.75	0.71	0.93	0.66	0.41	0.69	0.91	0.67	0.63	0.71	0.95	0.82	0.47	0.92	0.28	0.76	0.72	0.57	0.43	0.45	0.51	0.64	0.56	0.72	0.53	0.75	0.75	0.49	0.89	0.62	0.97	0.82	0.5	0.46	0.63	0.61	0.58	0.64	0.69	0.61	0.54	0.86	0.6	0.64	0.69	0.79	0.51	0.61	0.65	0.51	0.79	0.69	0.92	0.71	0.73	0.86	0.47	0.74	0.62	0.89	0.7	0.95	0.99	0.63	0.67	0.54	0.66	0.92	0.43	0.74	0.34	0.26	0.47	0.72	0.98	0.91	0.76	0.75	0.64	0.81	0.74	0.71	0.96	0.91	0.58	0.91	0.62	0.41	0.41	0.54	0.56	0.87	0.6	0.63	0.7	0.5	0.76	1	0.9	0.45	0.85	0.72	0.48	0.3	0	0.7	0.75	0.75	0.85	0.6	0.7	0.48	0.81	0.63	0.6	0.78	0.6	0.62	0.62	0.65	0.58	0.41	0.7	0.75	0.46	0.71	0.73	0.67	0.51	0.73
CHEMBL1200688	0.87	0.8	0.86	0.8	0.85	0.77	0.86	0.82	0.88	0.86	0.67	0.77	0.73	0.91	0.77	0.75	0.77	0.85	0.83	0.79	0.82	0.85	0.85	0.89	0.7	0.79	0.81	0.8	0.8	0.74	0.76	0.83	0.63	0.73	0.91	0.7	0.78	0.82	0.75	0.71	0.75	0.68	0.67	0.69	0.79	0.77	0.83	0.85	0.63	0.78	0.73	0.89	0.89	0.75	0.67	0.74	0.79	0.7	0.84	0.85	0.79	0.72	0.67	0.82	0.75	0.78	0.84	0.68	0.8	0.78	0.74	0.83	0.84	0.74	0.8	0.86	0.7	0.68	0.83	0.61	0.68	0.81	0.85	1	0.73	0.73	0.79	0.65	0.75	0.72	0.49	0.73	0.68	0.78	0.84	0.91	0.87	0.93	0.96	0.43	0.84	0.86	0.85	0.89	0.68	0.76	0.72	0.73	0.57	0.62	0.69	0.71	0.63	0.76	0.49	0.82	0.74	0.44	1	0.71	0.73	0.66	0.8	0.51	0.66	0.7	0	0.44	0.75	0.5	0.73	0.79	0.72	0.79	0.29	0.74	0.54	0.67	0.6	0.86	0.86	0.79	0.63	0.71	0.48	0.62	0.81	0.85	0.7	0.66	0.84
CHEMBL1566	0.86	0.74	0.86	0.73	0.72	0.74	0.78	0.66	0.87	0.85	0.71	0.72	0.72	0.88	0.7	0.77	0.78	0.86	0.74	0.73	0.77	0.76	0.74	0.84	0.66	0.74	0.75	0.75	0.75	0.69	0.74	0.84	0.78	0.67	0.86	0.73	0.69	0.74	0.69	0.69	0.68	0.65	0.59	0.72	0.73	0.75	0.75	0.79	0.57	0.73	0.66	0.89	0.82	0.63	0.65	0.66	0.7	0.66	0.72	0.75	0.71	0.67	0.66	0.67	0.72	0.75	0.74	0.55	0.71	0.73	0.68	0.73	0.76	0.73	0.7	0.81	0.77	0.63	0.77	0.66	0.73	0.73	0.84	1	0.65	0.6	0.73	0.69	0.74	0.62	0.64	0.76	0.7	0.7	0.75	0.87	0.79	0.84	0.89	0.43	0.75	0.79	0.78	0.88	0.61	0.64	0.74	0.73	0.56	0.62	0.65	0.68	0.71	0.69	0.57	0.8	0.6	0.51	1	0.74	0.74	0.74	0.73	0.56	0.69	0.75	0.44	0	0.64	0.42	0.74	0.72	0.64	0.76	0.33	0.7	0.5	0.71	0.56	0.78	0.77	0.76	0.62	0.7	0.32	0.61	0.73	0.75	0.62	0.66	0.74
CHEMBL986	0.85	0.68	0.72	0.77	0.76	0.69	0.76	0.72	0.9	0.91	0.72	0.58	0.67	0.94	0.77	0.72	0.8	0.9	0.71	0.72	0.75	0.79	0.75	0.9	0.76	0.71	0.71	0.83	0.72	0.74	0.72	0.85	0.64	0.63	0.89	0.69	0.71	0.72	0.8	0.62	0.77	0.67	0.63	0.56	0.67	0.78	0.78	0.8	0.68	0.84	0.71	0.92	0.84	0.63	0.67	0.71	0.8	0.7	0.79	0.82	0.77	0.67	0.73	0.75	0.63	0.71	0.78	0.67	0.81	0.81	0.76	0.78	0.75	0.84	0.67	0.79	0.85	0.62	0.78	0.56	0.79	0.69	0.86	1	0.75	0.7	0.61	0.54	0.82	0.74	0.71	0.7	0.73	0.56	0.66	0.93	0.56	0.7	0.8	0.66	0.56	0.71	0.7	0.92	0.75	0.74	0.83	0.72	0.74	0.72	0.66	0.76	0.83	0.81	0.45	0.8	0.66	0.78	1	0.82	0.67	0.83	0.67	0.64	0.71	0.75	0.75	0.64	0	0.8	0.65	0.63	0.63	0.65	0.6	0.78	0.63	0.55	0.67	0.84	0.85	0.8	0.74	0.79	0.72	0.73	0.78	0.84	0.7	0.8	0.77
CHEMBL606759	0.79	0.85	0.8	0.83	0.79	0.84	0.88	0.77	0.85	0.87	0.84	0.87	0.82	0.9	0.82	0.88	0.87	0.88	0.85	0.85	0.89	0.88	0.83	0.87	0.78	0.82	0.88	0.68	0.87	0.8	0.86	0.84	0.75	0.82	0.87	0.84	0.83	0.84	0.8	0.81	0.82	0.8	0.73	0.83	0.87	0.85	0.84	0.87	0.74	0.7	0.81	0.87	0.9	0.74	0.79	0.8	0.82	0.79	0.78	0.85	0.82	0.77	0.71	0.78	0.83	0.86	0.86	0.72	0.81	0.84	0.81	0.87	0.88	0.71	0.82	0.91	0.76	0.78	0.86	0.78	0.63	0.85	0.82	1	0.81	0.72	0.86	0.82	0.67	0.76	0.63	0.87	0.83	0.83	0.84	0.79	0.8	0.91	0.94	0.61	0.85	0.89	0.87	0.86	0.58	0.75	0.63	0.84	0.7	0.77	0.74	0.82	0.69	0.82	0.72	0.9	0.76	0.5	1	0.66	0.84	0.6	0.88	0.71	0.81	0.85	0.5	0.42	0.8	0	0.85	0.87	0.8	0.78	0.51	0.83	0.65	0.83	0.69	0.84	0.85	0.84	0.77	0.8	0.51	0.75	0.85	0.85	0.76	0.79	0.87
CHEMBL15770	0.91	0.52	0.9	0.65	0.67	0.52	0.68	0.63	0.87	0.89	0.56	0.48	0.49	0.87	0.65	0.54	0.78	0.88	0.61	0.52	0.67	0.63	0.59	0.87	0.57	0.6	0.63	0.91	0.63	0.51	0.62	0.9	0.68	0.52	0.83	0.53	0.54	0.61	0.61	0.48	0.55	0.46	0.59	0.31	0.6	0.62	0.7	0.71	0.56	0.88	0.48	0.96	0.69	0.59	0.55	0.51	0.71	0.54	0.66	0.69	0.66	0.52	0.82	0.67	0.51	0.56	0.6	0.55	0.66	0.61	0.57	0.61	0.55	0.81	0.48	0.71	0.85	0.51	0.6	0.57	0.76	0.55	0.93	1	0.68	0.63	0.48	0.54	0.91	0.63	0.72	0.51	0.57	0.51	0.58	0.96	0.85	0.63	0.73	0.68	0.76	0.57	0.56	0.94	0.86	0.65	0.75	0.59	0.59	0.53	0.48	0.52	0.75	0.71	0.52	0.68	0.56	0.72	1	0.71	0.42	0.81	0.6	0.47	0.53	0.6	0.73	0.74	0.65	0.85	0	0.54	0.56	0.79	0.64	0.61	0.71	0.56	0.47	0.74	0.75	0.67	0.58	0.62	0.75	0.56	0.59	0.67	0.61	0.68	0.68
CHEMBL822	0.91	0.61	0.94	0.63	0.66	0.44	0.48	0.59	0.92	0.87	0.57	0.22	0.66	0.87	0.62	0.66	0.73	0.86	0.43	0.46	0.47	0.5	0.59	0.86	0.58	0.69	0.38	0.86	0.46	0.55	0.49	0.81	0.84	0.45	0.88	0.64	0.5	0.52	0.69	0.63	0.6	0.5	0.4	0.52	0.31	0.64	0.59	0.6	0.52	0.81	0.52	0.89	0.62	0.54	0.56	0.55	0.63	0.54	0.66	0.68	0.56	0.57	0.65	0.61	0.46	0.48	0.46	0.49	0.66	0.67	0.6	0.49	0.44	0.86	0.48	0.54	0.85	0.45	0.6	0.7	0.87	0.41	0.84	1	0.6	0.58	0.5	0.66	0.86	0.58	0.77	0.63	0.65	0.58	0.38	0.9	0.88	0.57	0.69	0.71	0.78	0.34	0.43	0.92	0.83	0.63	0.89	0.58	0.63	0.66	0.59	0.59	0.82	0.66	0.69	0.62	0.5	0.8	1	0.88	0.54	0.86	0.34	0.53	0.65	0.7	0.79	0.72	0.63	0.87	0.54	0	0.48	0.86	0.73	0.66	0.7	0.69	0.53	0.73	0.73	0.67	0.71	0.64	0.74	0.56	0.68	0.72	0.53	0.66	0.49
CHEMBL83	0.9	0.32	0.91	0.65	0.57	0.58	0.63	0.54	0.91	0.89	0.29	0.42	0.4	0.9	0.5	0.44	0.78	0.88	0.58	0.59	0.62	0.65	0.64	0.88	0.63	0.41	0.56	0.85	0.58	0.6	0.62	0.85	0.82	0.15	0.88	0.36	0.58	0.64	0.55	0.35	0.47	0.47	0.46	0.5	0.52	0.55	0.68	0.69	0.42	0.84	0.57	0.91	0.72	0.21	0.22	0.57	0.46	0.56	0.47	0.6	0.46	0.44	0.75	0.43	0.57	0.61	0.62	0.26	0.51	0.63	0.48	0.64	0.6	0.85	0.56	0.66	0.81	0.2	0.7	0.69	0.84	0.58	0.87	1	0.49	0.55	0.41	0.68	0.79	0.43	0.76	0.4	0.43	0.33	0.55	0.92	0.85	0.64	0.74	0.63	0.78	0.58	0.59	0.92	0.8	0.46	0.87	0.61	0.47	0.47	0.45	0.41	0.82	0.51	0.63	0.69	0.19	0.75	1	0.86	0.35	0.83	0.52	0.34	0.42	0.48	0.72	0.64	0.63	0.8	0.56	0.48	0	0.78	0.63	0.5	0.7	0.7	0.49	0.59	0.61	0.54	0.46	0.68	0.69	0.5	0.63	0.72	0.58	0.57	0.62
CHEMBL2037000	0.76	0.69	0.73	0.82	0.85	0.83	0.9	0.81	0.85	0.88	0.79	0.84	0.71	0.93	0.83	0.81	0.87	0.86	0.85	0.83	0.9	0.89	0.82	0.9	0.84	0.7	0.88	0.8	0.86	0.84	0.87	0.84	0.65	0.78	0.88	0.73	0.87	0.83	0.82	0.72	0.82	0.81	0.82	0.74	0.87	0.83	0.84	0.85	0.82	0.84	0.79	0.9	0.9	0.77	0.75	0.79	0.83	0.75	0.82	0.89	0.86	0.77	0.89	0.76	0.81	0.82	0.88	0.81	0.8	0.86	0.81	0.89	0.89	0.74	0.82	0.91	0.72	0.79	0.86	0.74	0.71	0.84	0.82	1	0.87	0.83	0.84	0.76	0.74	0.81	0.8	0.79	0.79	0.78	0.86	0.9	0.6	0.83	0.92	0.69	0.53	0.88	0.86	0.86	0.75	0.78	0.73	0.84	0.81	0.81	0.79	0.81	0.77	0.86	0.67	0.9	0.79	0.83	1	0.74	0.76	0.68	0.87	0.73	0.75	0.81	0.79	0.76	0.65	0.78	0.79	0.86	0.78	0	0.7	0.82	0.76	0.77	0.77	0.81	0.82	0.84	0.79	0.89	0.77	0.84	0.86	0.87	0.87	0.85	0.9
CHEMBL267345	0.85	0.67	0.88	0.72	0.75	0.68	0.78	0.7	0.88	0.87	0.62	0.71	0.6	0.91	0.69	0.66	0.77	0.87	0.75	0.73	0.77	0.8	0.76	0.87	0.63	0.67	0.75	0.8	0.75	0.65	0.7	0.88	0.67	0.64	0.88	0.59	0.73	0.73	0.67	0.59	0.64	0.61	0.63	0.58	0.74	0.7	0.75	0.79	0.52	0.79	0.62	0.91	0.84	0.59	0.6	0.62	0.73	0.56	0.72	0.77	0.71	0.59	0.7	0.69	0.66	0.71	0.78	0.56	0.71	0.7	0.63	0.78	0.78	0.76	0.7	0.81	0.8	0.6	0.75	0.55	0.68	0.72	0.89	1	0.67	0.63	0.7	0.6	0.81	0.62	0.54	0.64	0.59	0.65	0.72	0.88	0.81	0.83	0.89	0.39	0.77	0.78	0.76	0.9	0.72	0.63	0.7	0.67	0.46	0.52	0.55	0.64	0.71	0.7	0.36	0.78	0.6	0.51	1	0.7	0.61	0.7	0.74	0.44	0.55	0.63	0.29	0.33	0.6	0.51	0.64	0.73	0.63	0.7	0	0.67	0.46	0.61	0.53	0.75	0.76	0.71	0.53	0.66	0.42	0.56	0.74	0.78	0.65	0.6	0.77
CHEMBL843	0.91	0.56	0.94	0.42	0.63	0.57	0.55	0.52	0.82	0.66	0.49	0.69	0.53	0.69	0.43	0.57	0.52	0.66	0.57	0.59	0.49	0.63	0.69	0.67	0.53	0.61	0.62	0.87	0.57	0.54	0.42	0.9	0.84	0.53	0.71	0.53	0.57	0.6	0.44	0.55	0.47	0.57	0.6	0.64	0.6	0.39	0.47	0.48	0.47	0.83	0.49	0.9	0.43	0.55	0.52	0.49	0.43	0.54	0.55	0.33	0.38	0.52	0.82	0.47	0.59	0.57	0.61	0.52	0.45	0.33	0.46	0.62	0.63	0.79	0.64	0.55	0.82	0.51	0.41	0.74	0.83	0.59	0.92	1	0.39	0.54	0.64	0.76	0.86	0.53	0.73	0.54	0.57	0.59	0.65	0.94	0.9	0.8	0.85	0.67	0.86	0.66	0.68	0.91	0.83	0.46	0.81	0.55	0.56	0.58	0.54	0.36	0.76	0.34	0.71	0.42	0.5	0.66	1	0.8	0.55	0.83	0.59	0.55	0.55	0.6	0.74	0.7	0.78	0.83	0.61	0.66	0.5	0.82	0.67	0	0.7	0.76	0.51	0.52	0.49	0.43	0.57	0.46	0.63	0.57	0.41	0.38	0.59	0.47	0.55
CHEMBL160	0.79	0.78	0.85	0.73	0.76	0.6	0.78	0.66	0.8	0.76	0.69	0.69	0.71	0.86	0.75	0.77	0.68	0.77	0.69	0.66	0.75	0.76	0.68	0.79	0.63	0.78	0.72	0.74	0.66	0.68	0.67	0.79	0.68	0.71	0.84	0.75	0.68	0.65	0.69	0.72	0.64	0.64	0.61	0.66	0.7	0.74	0.69	0.73	0.54	0.66	0.67	0.84	0.8	0.68	0.69	0.66	0.7	0.66	0.77	0.77	0.77	0.63	0.63	0.69	0.62	0.63	0.72	0.62	0.67	0.73	0.59	0.75	0.76	0.6	0.62	0.78	0.69	0.65	0.75	0.63	0.64	0.68	0.81	1	0.72	0.58	0.76	0.64	0.76	0.66	0.5	0.75	0.75	0.75	0.73	0.85	0.79	0.83	0.89	0.46	0.71	0.78	0.78	0.82	0.52	0.62	0.67	0.72	0.67	0.74	0.65	0.65	0.55	0.73	0.54	0.73	0.65	0.43	1	0.65	0.73	0.67	0.72	0.6	0.75	0.78	0.54	0.5	0.63	0.65	0.71	0.7	0.7	0.76	0.46	0.7	0	0.67	0.42	0.76	0.71	0.7	0.75	0.57	0.46	0.6	0.71	0.73	0.66	0.67	0.7
CHEMBL1697830	0.89	0.68	0.88	0.78	0.8	0.67	0.79	0.75	0.9	0.89	0.66	0.68	0.64	0.93	0.77	0.65	0.77	0.87	0.77	0.71	0.75	0.79	0.76	0.91	0.68	0.68	0.73	0.86	0.72	0.65	0.72	0.91	0.63	0.68	0.91	0.59	0.77	0.75	0.74	0.63	0.7	0.55	0.68	0.51	0.75	0.7	0.8	0.81	0.66	0.83	0.66	0.95	0.87	0.71	0.67	0.68	0.78	0.66	0.81	0.83	0.76	0.65	0.76	0.79	0.64	0.7	0.81	0.7	0.79	0.77	0.73	0.82	0.75	0.85	0.74	0.79	0.8	0.64	0.76	0.25	0.78	0.68	0.91	0.98	0.76	0.72	0.49	0.14	0.89	0.7	0.62	0.62	0.64	0.63	0.75	0.95	0.84	0.8	0.8	0.63	0.66	0.76	0.69	0.93	0.83	0.76	0.81	0.51	0.65	0.64	0.64	0.73	0.77	0.78	0.41	0.76	0.72	0.71	1	0.8	0.58	0.78	0.74	0.62	0.63	0.6	0.67	0.71	0.55	0.83	0.56	0.69	0.7	0.77	0.61	0.76	0.67	0	0.64	0.81	0.82	0.75	0.7	0.76	0.7	0.6	0.76	0.8	0.66	0.72	0.77
CHEMBL578	0.85	0.57	0.9	0.57	0.64	0.38	0.64	0.53	0.82	0.76	0.5	0.5	0.52	0.85	0.58	0.6	0.67	0.78	0.53	0.51	0.62	0.65	0.55	0.8	0.44	0.6	0.57	0.8	0.51	0.47	0.52	0.85	0.72	0.5	0.83	0.56	0.55	0.51	0.5	0.5	0.5	0.47	0.43	0.41	0.53	0.55	0.57	0.61	0.4	0.72	0.47	0.89	0.69	0.47	0.47	0.47	0.59	0.43	0.63	0.65	0.62	0.41	0.7	0.54	0.43	0.48	0.6	0.46	0.54	0.61	0.43	0.63	0.6	0.66	0.45	0.64	0.71	0.47	0.61	0.64	0.7	0.51	0.86	1	0.61	0.43	0.59	0.63	0.78	0.48	0.56	0.57	0.6	0.56	0.55	0.89	0.85	0.67	0.76	0.51	0.79	0.62	0.61	0.86	0.66	0.52	0.72	0.59	0.55	0.58	0.41	0.46	0.56	0.58	0.55	0.59	0.48	0.45	1	0.7	0.52	0.69	0.55	0.4	0.55	0.62	0.6	0.56	0.67	0.69	0.47	0.53	0.49	0.77	0.53	0.51	0.42	0.64	0	0.66	0.61	0.51	0.6	0.48	0.51	0.46	0.57	0.64	0.5	0.57	0.58
CHEMBL869	0.88	0.55	0.95	0.53	0.49	0.63	0.68	0.52	0.82	0.8	0.55	0.74	0.54	0.82	0.54	0.59	0.74	0.81	0.64	0.7	0.68	0.71	0.71	0.85	0.64	0.58	0.7	0.89	0.64	0.63	0.6	0.93	0.88	0.59	0.83	0.58	0.72	0.58	0.54	0.59	0.56	0.63	0.71	0.69	0.68	0.55	0.53	0.51	0.58	0.82	0.59	0.92	0.67	0.57	0.6	0.57	0.5	0.55	0.45	0.61	0.58	0.55	0.9	0.45	0.66	0.59	0.69	0.62	0.37	0.57	0.52	0.71	0.73	0.87	0.7	0.68	0.85	0.59	0.7	0.81	0.86	0.65	0.89	1	0.6	0.56	0.7	0.81	0.87	0.6	0.84	0.56	0.6	0.63	0.65	0.92	0.89	0.75	0.82	0.75	0.82	0.68	0.62	0.86	0.88	0.46	0.86	0.57	0.62	0.68	0.62	0.56	0.83	0.59	0.8	0.67	0.57	0.82	1	0.86	0.62	0.8	0.67	0.65	0.6	0.62	0.86	0.78	0.84	0.84	0.74	0.73	0.59	0.81	0.75	0.52	0.76	0.81	0.66	0	0.14	0.3	0.64	0.66	0.73	0.62	0.65	0.61	0.69	0.58	0.68
