	CHEMBL101	CHEMBL1064	CHEMBL107	CHEMBL108	CHEMBL1089221	CHEMBL109	CHEMBL11	CHEMBL112	CHEMBL113	CHEMBL1177	CHEMBL12	CHEMBL1200688	CHEMBL1200714	CHEMBL1201088	CHEMBL1201089	CHEMBL1201082	CHEMBL1201093	CHEMBL1201096	CHEMBL1201097	CHEMBL1201288	CHEMBL123292	CHEMBL130	CHEMBL1314	CHEMBL1381098	CHEMBL139	CHEMBL1395	CHEMBL1411979	CHEMBL1430	CHEMBL1431	CHEMBL1440	CHEMBL1441	CHEMBL1467	CHEMBL1479	CHEMBL1503	CHEMBL1515	CHEMBL1518	CHEMBL154	CHEMBL1542	CHEMBL1560	CHEMBL1566	CHEMBL1569487	CHEMBL15770	CHEMBL159226	CHEMBL16	CHEMBL160	CHEMBL16068	CHEMBL16073	CHEMBL16081	CHEMBL1609891	CHEMBL1628227	CHEMBL164290	CHEMBL165908	CHEMBL1697693	CHEMBL1697694	CHEMBL1697830	CHEMBL1697856	CHEMBL1790041	CHEMBL190	CHEMBL19224	CHEMBL193	CHEMBL20	CHEMBL203187	CHEMBL2037000	CHEMBL2105617	CHEMBL21578	CHEMBL228514	CHEMBL23	CHEMBL232201	CHEMBL234926	CHEMBL23832	CHEMBL25	CHEMBL26	CHEMBL267345	CHEMBL27	CHEMBL273386	CHEMBL2766015	CHEMBL288958	CHEMBL295416	CHEMBL295698	CHEMBL30	CHEMBL311469	CHEMBL35	CHEMBL351487	CHEMBL374478	CHEMBL384467	CHEMBL38737	CHEMBL388590	CHEMBL40	CHEMBL415	CHEMBL42	CHEMBL421	CHEMBL429	CHEMBL429023	CHEMBL44657	CHEMBL44814	CHEMBL44884	CHEMBL457	CHEMBL459	CHEMBL472	CHEMBL479	CHEMBL49	CHEMBL498	CHEMBL502074	CHEMBL502682	CHEMBL505	CHEMBL505513	CHEMBL506247	CHEMBL514	CHEMBL517	CHEMBL521	CHEMBL521035	CHEMBL53463	CHEMBL54	CHEMBL54349	CHEMBL545	CHEMBL558	CHEMBL562	CHEMBL56367	CHEMBL565	CHEMBL572	CHEMBL573	CHEMBL578	CHEMBL599	CHEMBL6	CHEMBL606759	CHEMBL623	CHEMBL629	CHEMBL633	CHEMBL637	CHEMBL64	CHEMBL643	CHEMBL646	CHEMBL6466	CHEMBL672	CHEMBL686	CHEMBL691	CHEMBL695	CHEMBL71	CHEMBL726	CHEMBL75880	CHEMBL782	CHEMBL8	CHEMBL806	CHEMBL822	CHEMBL83	CHEMBL833	CHEMBL843	CHEMBL85728	CHEMBL869	CHEMBL88	CHEMBL896	CHEMBL902	CHEMBL92401	CHEMBL95	CHEMBL964	CHEMBL986
CHEMBL101	0	0.365829923494806	0.633650690716146	0.297621708382685	0.319868865361777	0.522322752535111	0.340340011348083	0.532681104027263	0.529703355885476	0.344212008989308	0.460280223147004	0.350753245968533	0.337929106762036	0.333044310155622	0.335908768005408	0.318674233620174	0.350362294709433	0.365980778342963	0.361327757110269	0.324822748328276	0.769294227698811	0.331026604336319	0.357561138397494	0.412434380511471	0.479819020488959	0.340533820995253	0.474411342550618	0.402856236200311	0.515441441149197	0.356982644193505	0.335781828763699	0.313261066970126	0.453233708370459	0.605723491635875	0.387465840000865	0.527476309475376	0.373364466585283	0.393516821487274	0.43911455635445	0.354995938200752	0.321351194014709	0.582816074689757	0.348270377372798	0.308146154786111	0.373986967842099	0.337992697587307	0.324958769715256	0.32112345835497	0.330139612004074	0.375390728556675	0.335871917352563	0.348807851865834	0.640837517841996	0.589358263007678	0.419199032314195	0.37941770024076	0.464141847574017	0.593129365213918	0.522872972056008	0.338773023076716	0.336778734470671	0.677888258778554	0.516078590687065	0.336468825399355	0.347205451915785	0.318903774166229	0.341984529651562	0.304400502735112	0.549909871713023	0.349436036915089	0.316891367604051	0.423596779618599	0.332244153195697	0.364407567287264	0.427943231295641	0.37538518199651	0.690509066929144	0.332684707007332	0.352341779541571	0.318437708335376	0.388234239241136	0.482388235651779	0.293702759443193	0.282471282675945	0.316176088808347	0.329425176156562	0.506981925892514	0.617370837452753	0.343552847813949	0.334820280909775	0.367036252464841	0.301382421399837	0.315815879900594	0.429843440541285	0.329086571142103	0.357554407446527	0.333405150535557	0.33037956720191	0.309096901695288	0.351673223477507	0.310196399205081	0.360089270297111	0.459431168005808	0.433387519796233	0.327946362115834	0.57835669037677	0.458570354319813	0.360193994539875	0.46359364562264	0.369538405977117	0.352569110597305	0.772674902520323	0.346311791466714	0.290427514833577	0.382054963708787	0.317526377321349	0.313434217361444	0.516895614266746	0.308766860019781	0.446926678413275	0.361172140338134	0.382258402389317	0.323217865699001	0.322228922352542	0.430314329660293	0.622555920391083	0.352706794866413	0.305143320628313	0.46247335919021	0.388400589647698	0.381535332130418	0.317813115889241	0.332622429824155	0.32890985185764	0.334751552641605	0.334947667963653	0.326826163977053	0.30770186611553	0.354818877976056	0.319443375861123	0.327506264030923	0.33135670375042	0.334018420601945	0.344418412554387	0.359550637664974	0.370664698504089	0.386047253588247	0.533248686803286	0.351943041491776	0.307879008682138	0.394509937876735	0.328497080356296	0.362721470871415	0.384316404528771	0.348763107233333	0.338934248884573
CHEMBL1064	0.365829923494806	0	0.643855519927336	0.388105352452035	0.330082226843911	0.532414858624761	0.356188950321339	0.587271557586698	0.467066165496805	0.340008572566051	0.535306314949767	0.371885787288769	0.346223889582694	0.356739395116118	0.360544720177079	0.345326258074612	0.383070288084273	0.406029564145078	0.399602094405784	0.340202488613617	0.806174833653325	0.348069950970766	0.364745625088056	0.477829230619143	0.538489239867503	0.358824515272581	0.561541293305421	0.351103642389818	0.520830107906394	0.380325121195278	0.348722155307358	0.388800164218343	0.506395312173047	0.673367250977806	0.362759885645659	0.594257144282567	0.351738041692492	0.428699350713784	0.361893542493277	0.369917129564066	0.341989611883411	0.600072420752941	0.362791038383159	0.34653050689355	0.362288962780092	0.350650719279021	0.333878327455431	0.340777098710426	0.329752259517542	0.412217944705515	0.32351440561149	0.366382908810501	0.700922062848153	0.603359248837784	0.452522877886102	0.389342878850253	0.434349126784789	0.536927495869486	0.535022199215833	0.366354265661682	0.359738314693542	0.701347657480291	0.553631064836597	0.336530609853924	0.34814950019922	0.335582001994141	0.315437867134213	0.315156397835804	0.623072774942716	0.341021226720811	0.356392546106348	0.435864559620678	0.373262920002069	0.392344714403996	0.468181921874316	0.414790259198769	0.72211651802894	0.357091200723097	0.418890678607753	0.331308640595573	0.402929979670101	0.491286472179223	0.319419910932334	0.347259809399909	0.311086668497745	0.313447029346683	0.605939529755418	0.682624254258362	0.371924805254782	0.362269124547946	0.363086137469397	0.371788177839171	0.332124719436554	0.415093616268866	0.345143783901733	0.361756145474803	0.352810465742543	0.345641107979072	0.333515381376031	0.380829359883349	0.328140033027288	0.360832074322626	0.494171198439596	0.47193609263912	0.342906830868931	0.581404716944343	0.468089911102462	0.416106719422746	0.476760904151537	0.35108243664207	0.369206232645973	0.778314455654994	0.354721486821819	0.292346507578291	0.38459960917548	0.324815520707702	0.355411197495846	0.544431461532849	0.322227926900094	0.532430261159998	0.350095813791654	0.39195354142978	0.328384184634776	0.341703331188779	0.462902076498675	0.64728033425907	0.344466123239479	0.334349834333143	0.461981388594642	0.442656249562522	0.361822146612881	0.334855124157859	0.377111433997868	0.335821973179985	0.338167065540388	0.340591306036922	0.335176958420227	0.364822280927943	0.348435087827173	0.407312630904372	0.317533765392834	0.342315261806602	0.442088249074422	0.339610963103185	0.366720972896502	0.374934959236758	0.41208247710101	0.550268516364964	0.362772829851868	0.368114566894285	0.409900060849824	0.340029889304991	0.394898466199623	0.398408631122432	0.381051762819568	0.355609653085476
CHEMBL107	0.633650690716146	0.643855519927336	0	0.660892986671152	0.633337448951447	0.703367122000374	0.658806763198821	0.494426819326269	0.677151919429558	0.660078030383884	0.531172101805955	0.66433092188984	0.657025715389328	0.649409758167953	0.653386815022387	0.622111827994527	0.639878549153739	0.606349395632911	0.611524090169316	0.642693175355466	0.847118788602817	0.626068588199769	0.675767013593601	0.611889439702414	0.621878572415024	0.667181007634255	0.660678286027478	0.709473635741752	0.648559730476299	0.678495416180481	0.632348613893329	0.661933357942583	0.60816506103446	0.681538496342216	0.52853385396558	0.619427031608906	0.671743646015228	0.623815940868694	0.730099897659856	0.650747904654133	0.652613518905417	0.502158384973932	0.642745127581371	0.655246300536089	0.607068980757206	0.649380575165814	0.613916524203866	0.645753350382876	0.647896216276874	0.6648452302511	0.619201447745872	0.66198678102885	0.731343674002163	0.711069034625994	0.570549714198941	0.667636679091274	0.653297936388159	0.624489799410636	0.666050604447078	0.559045295481609	0.660561361201047	0.776165465177521	0.615572320713892	0.641769151812816	0.638108816940215	0.653579422875578	0.640587826220159	0.63478933177398	0.661855947730588	0.628257740528641	0.664122496640978	0.62415713150403	0.613041524170423	0.603179905184055	0.591163010676904	0.571879415169783	0.73575010427346	0.654674254100104	0.623052220572322	0.643806943791966	0.676759466533993	0.582942537157	0.602182162225614	0.646818860120554	0.623483696869894	0.633100160128536	0.666531311082866	0.760917706332499	0.663096442413513	0.591220705725984	0.665212119596527	0.631092478147577	0.636403523580209	0.615519616256444	0.643490602817386	0.652086274123329	0.660501777359456	0.652558177141466	0.647843223809083	0.642272825242535	0.583540047818377	0.66214368567492	0.590950514224366	0.653704503886757	0.654797661923286	0.684450215798315	0.668215403170789	0.645928527520196	0.631404870427011	0.676591299127699	0.667388299881421	0.879366176796977	0.657536067354365	0.61577491951207	0.689436090826622	0.633657317102553	0.642997363900259	0.644576339699396	0.636345853033984	0.637710356599405	0.685486553995097	0.653180606437162	0.644484039550457	0.640057047563911	0.613733866011271	0.735659255485497	0.661374028160846	0.641499997193175	0.656763178630071	0.670087797496838	0.664393453097676	0.636949157172583	0.642594677805684	0.65600873915587	0.644364273867635	0.658708838628218	0.640773836807656	0.640061839243125	0.645913605374946	0.653501692363287	0.633614662444971	0.647812077504647	0.638261936116028	0.651191559760566	0.675506886624352	0.689155058649267	0.614089951020006	0.630440075131386	0.626483623603552	0.663897691859089	0.657860492602918	0.649960316486183	0.647372144667317	0.63538044844999	0.644846428283008	0.657059354974134
CHEMBL108	0.297621708382685	0.388105352452035	0.660892986671152	0	0.291758604309419	0.535817889366546	0.312634571397991	0.53107839707872	0.566169319662466	0.311261854781167	0.449672558504829	0.313956794650971	0.310370525724967	0.302273773073274	0.302385924847861	0.30614604712347	0.33922557926418	0.405267669418858	0.396837952158225	0.286822629403244	0.781893697464937	0.309757368626602	0.324902245554429	0.404810820705588	0.473509058285779	0.309372297197877	0.518019954761527	0.392844370561081	0.568421267316597	0.309917866273687	0.31319878259358	0.25182286837843	0.501646849020739	0.61985277012427	0.392146485516506	0.556802346298111	0.37419188824268	0.423302445821969	0.441011812837748	0.329500747756977	0.276912902386322	0.600038290124276	0.344752205119208	0.242698390496377	0.392587465041963	0.296652898801526	0.290483904963938	0.280749775131141	0.294085912826351	0.3628262291601	0.305787336732395	0.299826508773198	0.614581468214302	0.601872320098006	0.442673426659529	0.348259386074361	0.502566000224662	0.624576082784328	0.534090219884461	0.348737811926936	0.283035913474289	0.695760212893169	0.549036615993106	0.349879383864232	0.357757533985139	0.286631174885579	0.373404807458537	0.301020230423702	0.549226200544641	0.355020938594771	0.331600767959715	0.463045863170738	0.358558222910251	0.410735981043478	0.484351732688529	0.388627443472489	0.716042480042935	0.29578719941412	0.37957647945222	0.284253590253441	0.360444197911936	0.505671629911795	0.284049057186744	0.276573504976071	0.326338040920389	0.317876345061394	0.520694222871471	0.616299295084207	0.307890523755865	0.360233365551366	0.332323855485286	0.28381009712511	0.287894742597743	0.475989719105853	0.283210651336731	0.375750112951537	0.301498675697016	0.289934707411603	0.275023784042705	0.328239701296873	0.344676687563358	0.342881081366497	0.504470414465036	0.457977102486393	0.302898499227918	0.623210081473568	0.446851371159021	0.313984987789243	0.514028080380977	0.343907533463877	0.319574861538884	0.778587773072407	0.310263358557708	0.282032099797868	0.356270824608036	0.32219745132315	0.27971803370669	0.54071183375683	0.27710195994916	0.482378489726187	0.335511650903334	0.376643264692701	0.289760405529318	0.289026611348513	0.443126467590843	0.640813426004493	0.341907997718045	0.277767446154696	0.516136643506367	0.358374471821599	0.413492288327695	0.263652461073257	0.271716649964681	0.293053511620458	0.312864883775031	0.304753794736149	0.29490910055408	0.267558915941575	0.328493630487168	0.30170055007364	0.336694881493487	0.294202458910012	0.351807588136685	0.318921966335586	0.337808092614324	0.340964681602788	0.436461385791984	0.585797422276002	0.334285004591078	0.251960627139936	0.411786522478091	0.301006542062701	0.360702324415777	0.401342372096812	0.295934456839579	0.313801553555785
CHEMBL1089221	0.319868865361777	0.330082226843911	0.633337448951447	0.291758604309419	0	0.501463652733407	0.272289253835936	0.530017549396506	0.511693050126887	0.270701374860291	0.48230740789704	0.272065847229078	0.269717745059277	0.264781872363573	0.270864539884526	0.271462989497777	0.309432128601226	0.377429896184773	0.366573469915867	0.245010752332214	0.761592752097439	0.266656755897421	0.288950161373656	0.401721394572586	0.451654471759526	0.269874550229281	0.524848484937282	0.333993932479893	0.537684826776402	0.283893270415118	0.28481691228965	0.297250118958748	0.482475720290773	0.625395014512628	0.332300862580505	0.541438113761817	0.282305307649089	0.404824677834133	0.3655866136727	0.289655624472709	0.244655027246801	0.563518797317336	0.299237306087939	0.249133832802248	0.329653009718721	0.262302219481814	0.250270288692426	0.238994127488206	0.224383176722391	0.338172671374565	0.27775359807127	0.256046669856245	0.62123341384038	0.588551133391584	0.403067467129446	0.319477699552908	0.446526947065393	0.580788499048516	0.511086630966113	0.296884162848584	0.25928702090022	0.670255360216452	0.511492871550947	0.32342867980771	0.322433967186791	0.252089911935482	0.32075829652986	0.263947081735427	0.549411642337937	0.30462328449469	0.278125463606351	0.446349055388139	0.328324513450054	0.372600563236064	0.449803917156584	0.350444822430271	0.7044029243155	0.236740332824685	0.40475137370076	0.261661562977848	0.323858018320145	0.45585618466798	0.259275330834049	0.255575874957676	0.283881082818922	0.264701664585388	0.540743753706758	0.637134397154339	0.268246745130937	0.3298473060579	0.282275376346619	0.305454760961139	0.247302145440324	0.414262854005671	0.241080420738531	0.3339471744873	0.24928034789576	0.252340980339374	0.234316002453054	0.329501945075666	0.310188466916919	0.282166843343182	0.458874360058886	0.430177302981465	0.270421072325894	0.578602903935455	0.383171834834115	0.316274231770487	0.480466861173667	0.278949933940373	0.28045092519603	0.778569661393578	0.267506648292482	0.23128549641888	0.322015294309412	0.292447279728226	0.287842614085777	0.526851223007351	0.228200080374099	0.496915205394685	0.275240025450869	0.316918253299258	0.258985354706199	0.230895902910774	0.420894034177305	0.640470609998119	0.300094240323428	0.243346047272897	0.479164456909102	0.372548908351845	0.374374102283706	0.229964367898384	0.258972785818733	0.241036126414653	0.259716862916944	0.26846371031155	0.274182476658776	0.265981185648937	0.265399815985842	0.315428351115283	0.288759002432063	0.265170356131454	0.397685322412038	0.291242459972224	0.28772626906321	0.29222909391637	0.392906324211874	0.531199149047281	0.292436919248456	0.261128495223915	0.375458600448416	0.256144541867121	0.331245346293794	0.358794167901275	0.272052725443445	0.263662752572818
CHEMBL109	0.522322752535111	0.532414858624761	0.703367122000374	0.535817889366546	0.501463652733407	0	0.516159890215351	0.591128721724709	0.641614278238577	0.524991133404065	0.615822996791622	0.518963301814913	0.513834571758287	0.515381478662616	0.513425003197711	0.517273086527242	0.538925342670753	0.5520496281891	0.539540896800742	0.512497632573964	0.887332866708337	0.516578399358972	0.530411551832501	0.59645838823511	0.591301971070592	0.515553222289827	0.647176162153284	0.53997429638838	0.658601890497634	0.534250670952272	0.499838357273792	0.551271499099042	0.618559065539978	0.761345801313983	0.498515699087675	0.666651119399928	0.50904500004552	0.56752820765314	0.551765431369304	0.538669629867506	0.51083221110789	0.699993213349552	0.505446015780178	0.510406738235639	0.527790005912648	0.523392096006832	0.50521232814204	0.510389423212509	0.497635919528195	0.514018999037342	0.511540846873622	0.517356139904521	0.773184580519572	0.716125789189018	0.596184444714767	0.550486021869305	0.570732157294779	0.679006862405091	0.653523092060299	0.483225269331211	0.529156613769586	0.767502204081138	0.652015155241247	0.524696506171903	0.510886123002243	0.50995901873065	0.513267934345536	0.517427853496235	0.68510746052377	0.540206104694902	0.489367620699647	0.59509257992993	0.515574937436855	0.527227944757037	0.604441375288546	0.54518754759176	0.828047868581746	0.506634605104874	0.545060590205356	0.512604596311312	0.555536313262544	0.610913786876063	0.505793412913578	0.504396127222088	0.507219702292696	0.492476846762148	0.688916930234137	0.765578829469543	0.518859008526577	0.523355107375113	0.518058824331061	0.51257072430693	0.507062278552172	0.556531314834087	0.503215205127804	0.512701602526568	0.496983810908595	0.516098023962614	0.51330012903394	0.568924030009685	0.519197021428853	0.514059478620281	0.604514351962154	0.581278054978661	0.502348725235336	0.718477167471946	0.579541651958031	0.549271880473189	0.611029460033723	0.523742501776382	0.525861144129982	0.867933930485018	0.502270552786991	0.497152800754088	0.53458880202111	0.514906733406109	0.544798241201587	0.676394567868814	0.504449560996474	0.622458935880974	0.515945664417028	0.519749720675916	0.522579668326656	0.504683955582685	0.598828335040464	0.778236396899039	0.509926845583554	0.511432743470323	0.600295151390094	0.4719155051196	0.545000213522166	0.512023500714378	0.511748642369389	0.514147646946878	0.509132052285219	0.524799479542273	0.514403172038535	0.524215831336078	0.495963982267935	0.531761430644206	0.508221809737991	0.525778273087388	0.547604129132789	0.523626825745614	0.521818217033947	0.522160381734476	0.570792005382837	0.649481068413327	0.523295691654803	0.520935563592257	0.547917448194966	0.504542745921277	0.528843562693886	0.534220179083963	0.524058931486737	0.512587584452127
CHEMBL11	0.340340011348083	0.356188950321339	0.658806763198821	0.312634571397991	0.272289253835936	0.516159890215351	0	0.533639384128851	0.524284117068075	0.255659680980464	0.501773152491814	0.258359404380056	0.265376384074414	0.247769556065435	0.259201593559449	0.269611771692168	0.320303889997325	0.384612695551007	0.373306238216778	0.240019513457505	0.768312934407837	0.258350778771271	0.278830911987254	0.434683018988735	0.493398036201444	0.256045811478502	0.541285265788953	0.321900406077692	0.558961305289556	0.26433615312931	0.306569281312354	0.296586757400894	0.485114269274839	0.652720761608548	0.350013439029679	0.555214850254082	0.322712378726266	0.412831400048756	0.378946372086825	0.27340728764516	0.242451025778012	0.609391144853084	0.297633502269658	0.248458196300507	0.36503173693455	0.264009687795107	0.253771989705285	0.237819435815027	0.236720642711074	0.330044805621681	0.295352608217489	0.248414369175114	0.626418943881237	0.606474184177608	0.422449724019298	0.323558941761571	0.437852450586492	0.600143248634223	0.535281402259371	0.311150666488549	0.257622161863609	0.680007767743377	0.540903390635999	0.318968489989895	0.299601336968376	0.246139214998181	0.314884847302525	0.30078847408042	0.558363791630269	0.345559232270275	0.282082193692547	0.451416171447389	0.334623432010259	0.38333578518661	0.477336546863815	0.361577226285012	0.741676814267468	0.277486954060851	0.421783661306912	0.265546158484361	0.321377817902346	0.478895257235002	0.273105886916894	0.266049333981258	0.32718444648644	0.269501278503737	0.565829893122056	0.656110980955296	0.239920550711163	0.348243163495573	0.273466593537412	0.305664056678331	0.251957207357672	0.416217136447603	0.228172506433994	0.320498986383934	0.234515770293107	0.237624680816629	0.252890892225867	0.358318256213963	0.33428849266489	0.266454963778868	0.504575413293281	0.45588048689597	0.240729031863408	0.635552001580137	0.385982166960175	0.302943478772348	0.485303563612357	0.272878290729697	0.269703451843756	0.812017283642786	0.265552280955866	0.263493202345068	0.322214184182404	0.28447518987642	0.309301684713519	0.563627500501218	0.246946403793824	0.516119336274619	0.267477098351431	0.310903995633971	0.263819748142324	0.26982900222198	0.441802174928491	0.676956315396024	0.257742040213027	0.240115389485217	0.50739240003191	0.371156354506214	0.361335180458205	0.243272081430473	0.263029981930813	0.250328834674901	0.261651441978006	0.271790664463564	0.296272568917609	0.267727569379554	0.26147829247763	0.308460437612499	0.332373377744303	0.267034141612239	0.400897334052853	0.273577373064424	0.265722413576249	0.272808832577788	0.451404477872703	0.568891219087085	0.277832398333902	0.275019738859096	0.365665758642853	0.246623237126868	0.326141159539114	0.332171080282528	0.265067614728965	0.26132816878048
CHEMBL112	0.532681104027263	0.587271557586698	0.494426819326269	0.53107839707872	0.530017549396506	0.591128721724709	0.533639384128851	0	0.644120913906327	0.542478572084114	0.381987177057909	0.544593272936086	0.541082249283582	0.526930626182497	0.539226622365768	0.510388179034746	0.542006382541862	0.520162701004598	0.52384108742802	0.529248084729775	0.785459051671924	0.494993566694166	0.574580692057748	0.477585722716227	0.492852147349525	0.552315273026428	0.548084046054586	0.610792589364705	0.606836784658004	0.548549811604655	0.533289797574808	0.538437697343855	0.520442172469476	0.590927666712039	0.422316531079258	0.515731427443678	0.573809375825255	0.482808605060144	0.660823497817397	0.525036938948957	0.538643776384575	0.568287042802551	0.527980417127521	0.524508578511503	0.533558408617742	0.542896984165251	0.504797508321739	0.533199176973541	0.536379233991669	0.527832646822989	0.533011490992572	0.547990595363678	0.667291515186936	0.677304211168158	0.483604707661358	0.572016590885907	0.562208549258765	0.619992506526687	0.639272402310351	0.460283360059918	0.547573888751829	0.659127203445919	0.55361931961167	0.547892936484805	0.522282093755669	0.547865300988964	0.539846838473979	0.536123443702387	0.536681243518376	0.538874427224727	0.557559385550143	0.566630351038695	0.506692168066524	0.519394120010463	0.534144090906761	0.438980665568794	0.768176192756551	0.538692544912692	0.496603661494884	0.544536889581179	0.564323280806725	0.522028912675566	0.490734455830219	0.518802754874945	0.552137773673622	0.536898643643996	0.539379846397065	0.668355261240225	0.535700494853225	0.491990766406149	0.550466603647849	0.490812552818539	0.523133236559216	0.529824462186961	0.513139303803628	0.551742379505426	0.537123441038135	0.531578273090233	0.542066883828264	0.550958824101157	0.497132829945365	0.531345576051131	0.533718504758439	0.587035504479419	0.532444868065328	0.688294199156368	0.566138968192118	0.487996454740512	0.575347336842273	0.540327067906412	0.548879066230965	0.878628003800174	0.528860538794942	0.513216502384966	0.604744949030734	0.541165192734702	0.545831112846979	0.630358295603806	0.537278875950229	0.499374905307581	0.571443043938853	0.535173132444676	0.536188051665845	0.52284698016411	0.558647932726136	0.735931436954638	0.529445475025828	0.53353626760326	0.620118172557556	0.504985650396049	0.574059965213346	0.526576354158395	0.492332822446832	0.547926911029655	0.520982434310186	0.548998978634032	0.544943474773479	0.525780290672069	0.521759263561223	0.522171193994879	0.562835868176627	0.541546978791085	0.483301779505525	0.534088160644898	0.551096707606836	0.559157286917965	0.55155922999267	0.595845408823601	0.487025871783838	0.535997389897818	0.556625058309875	0.531701057254722	0.540492569176377	0.512465305024773	0.522331863648	0.539866953920959
CHEMBL113	0.529703355885476	0.467066165496805	0.677151919429558	0.566169319662466	0.511693050126887	0.641614278238577	0.524284117068075	0.644120913906327	0	0.528686795761746	0.634205740832188	0.533370044096539	0.51524389905831	0.523096562131796	0.525691546442876	0.514809096793882	0.542363527440292	0.521815536132708	0.520439065446455	0.51105922937708	0.812321721742569	0.506983308076409	0.529120994029398	0.567154904776386	0.607202669972565	0.524806219665413	0.585475170397306	0.491861661004122	0.565020636157171	0.5454566010087	0.487375554611461	0.552372174025329	0.545418744934763	0.714550648502214	0.502546113499143	0.639377186045146	0.494289872671752	0.529437236561396	0.493439296851737	0.53667616468794	0.520070681585983	0.630302094201634	0.47940755671622	0.535489573516868	0.486522134146801	0.530417269963794	0.503664886742533	0.520487425043689	0.502260433662468	0.54293817679915	0.491950178629703	0.526894478624327	0.755630718172592	0.687002687929434	0.519402039142354	0.54740975907652	0.484255353230999	0.370835536319063	0.604002571004459	0.491097893529022	0.534037713214385	0.698315806786909	0.559837974256151	0.488940968702485	0.490557278286001	0.516082903242137	0.467106930652609	0.505479861507231	0.662214909222714	0.504183001350629	0.519333913058821	0.526209167654313	0.504750310855156	0.467055934127186	0.538262399196819	0.501125501398078	0.760622379512555	0.534486073135008	0.554357378095768	0.513886641334052	0.55366061565535	0.505917963085757	0.481291821801642	0.529866411566474	0.496841793376735	0.493609639563707	0.659206942353345	0.748617958109484	0.53522506094694	0.47821998995538	0.53421070594955	0.515622020306134	0.509811901613311	0.509941726681654	0.52155264326873	0.503825275174898	0.51898283991343	0.524437287287865	0.524240662686331	0.552855821714042	0.469060803703184	0.523394487279159	0.512654106013453	0.539169388455656	0.515110139027519	0.618162569864709	0.566500997160901	0.565256051408481	0.511197967988627	0.529467831521197	0.533909238952295	0.878326193098127	0.516830268407825	0.47953330217616	0.551068633469823	0.492387837833334	0.538981320594927	0.604886257823247	0.506868671632356	0.592434478976221	0.521242255133997	0.51238710415941	0.521416114979373	0.520014039252575	0.586880703690341	0.71564748971033	0.520640561244734	0.514898623343274	0.501120161224858	0.566905098085506	0.495548690287245	0.524569618905269	0.541490506989938	0.521386071095942	0.508810375215019	0.525327974689556	0.508970886379899	0.532175666444644	0.504374494752466	0.557941624983092	0.468294421355925	0.51589565281967	0.560859788765687	0.524671887285881	0.523960710914462	0.537627102439404	0.516730254038642	0.582256456103458	0.514137418000075	0.537495298659353	0.53140023890009	0.500482191472236	0.528203971015537	0.488389587767616	0.541155171981871	0.531537879795704
CHEMBL1177	0.344212008989308	0.340008572566051	0.660078030383884	0.311261854781167	0.270701374860291	0.524991133404065	0.255659680980464	0.542478572084114	0.528686795761746	0	0.510330457608224	0.260270648879529	0.259263526251502	0.247653058699535	0.259992273947243	0.262554932748338	0.316915202560475	0.393298856026946	0.382823008915982	0.23579895016157	0.754745824605635	0.259768983598574	0.271397904997896	0.437010119488577	0.503616481059716	0.257269432058157	0.553388209585137	0.302271254120855	0.548227763831081	0.265543418636914	0.295846295677871	0.29110339627416	0.496156027267658	0.649801702488555	0.344116677186732	0.557794113830416	0.331146263909979	0.392313445825961	0.36627623859925	0.246689889773538	0.228924379092499	0.604411240271402	0.308001507154438	0.236342119803545	0.367981928237972	0.244813982992645	0.249884560631569	0.222960955205425	0.225464657267523	0.366019944981227	0.277761349987646	0.248943268656286	0.615484394812525	0.581184645190858	0.429153440815495	0.310813766533292	0.444814568034957	0.57733760666661	0.520452749969331	0.321317888983019	0.247404071335127	0.675814719945814	0.53532070967314	0.311619177454467	0.308192377060395	0.238909633801483	0.313891825473452	0.288832057942414	0.561041239071352	0.322494815631948	0.290521639420378	0.464704669969526	0.34508542241507	0.398118766993491	0.470918152791888	0.368724737790978	0.71365344122271	0.277412032363291	0.435065146752836	0.23809481700847	0.329919550383081	0.470373824606046	0.26816626144736	0.274876578971276	0.316003397217418	0.260600945548972	0.55980474167095	0.637476744045098	0.261463517043254	0.354901766027443	0.266455050239481	0.319235419645178	0.234406234505013	0.418775427249776	0.224870446014154	0.337456799429137	0.244447257988213	0.223473086310833	0.235780834740544	0.32934990352001	0.338892416639794	0.25721448399813	0.520099089029885	0.441945843679444	0.259508985197206	0.619033325342699	0.373531597948366	0.298577515046643	0.495035220359799	0.272551265147406	0.264176718045996	0.778326666090546	0.264677102461575	0.260694360530877	0.314008907043098	0.296908791880083	0.292579222707909	0.546285189987804	0.23067282425039	0.523418011701376	0.244946777933113	0.314613046955356	0.227545077748568	0.270920539153058	0.419035365245067	0.64670624249889	0.257964394647985	0.230720779279531	0.51603876773876	0.385411496808409	0.377353045654085	0.227085679714636	0.267230956235433	0.233618677858263	0.250034969974777	0.246795220281625	0.276201987309661	0.272713334568923	0.271412796700341	0.330526552128034	0.332075557885211	0.247352059475207	0.420911426813449	0.23704953478134	0.272004187468252	0.2826483164779	0.451267142476036	0.565693667226866	0.276138270846968	0.277768839370327	0.385995034838939	0.237219348737079	0.328655649815783	0.33996651302645	0.26184832913303	0.256681151034319
