chembl_id	inchi_key	cid
CHEMBL56367	HYWYRSMBCFDLJT-UHFFFAOYSA-N	4495
CHEMBL565	KNHUKKLJHYUCFP-UHFFFAOYSA-N	2796
CHEMBL572	NXFQHRVNIOXGAQ-YCRREMRBSA-N	6604200
CHEMBL573	PVNIIMVLHYAWGP-UHFFFAOYSA-N	938
CHEMBL578	GBXSMTUPTTWBMN-XIRDDKMYSA-N	5388962
CHEMBL599	ZRVUJXDFFKFLMG-UHFFFAOYSA-N	54677470
CHEMBL6	CGIGDMFJXJATDK-UHFFFAOYSA-N	3715
CHEMBL606759	MSWZFWKMSRAUBD-UKFBFLRUSA-N	445621
CHEMBL623	VRBKIVRKKCLPHA-UHFFFAOYSA-N	4449
CHEMBL629	KRMDCWKBEZIMAB-UHFFFAOYSA-N	2160
CHEMBL633	IYIKLHRQXLHMJQ-UHFFFAOYSA-N	2157
CHEMBL637	PNVNVHUZROJLTJ-UHFFFAOYSA-N	5656
CHEMBL64	QRXWMOHMRWLFEY-UHFFFAOYSA-N	3767
CHEMBL643	PWWVAXIEGOYWEE-UHFFFAOYSA-N	4927
CHEMBL646	JOFWLTCLBGQGBO-UHFFFAOYSA-N	5556
CHEMBL6466	ZYGHJZDHTFUPRJ-UHFFFAOYSA-N	323
CHEMBL672	YMTINGFKWWXKFG-UHFFFAOYSA-N	3339
CHEMBL686	HYYBABOKPJLUIN-UHFFFAOYSA-N	4044
CHEMBL691	BFPYWIDHMRZLRN-SLHNCBLASA-N	5991
CHEMBL695	IRYJRGCIQBGHIV-UHFFFAOYSA-N	5576
CHEMBL71	ZPEIMTDSQAKGNT-UHFFFAOYSA-N	2726
CHEMBL726	PLDUPXSUYLZYBN-UHFFFAOYSA-N	3372
CHEMBL75880	CYXKNKQEMFBLER-UHFFFAOYSA-N	4746
CHEMBL782	JLRGJRBPOGGCBT-UHFFFAOYSA-N	5505
CHEMBL8	MYSWGUAQZAJSOK-UHFFFAOYSA-N	2764
CHEMBL806	MKXKFYHWDHIYRV-UHFFFAOYSA-N	3397
CHEMBL822	DOMXUEMWDBAQBQ-WEVVVXLNSA-N	1549008
CHEMBL83	NKANXQFJJICGDU-QPLCGJKRSA-N	2733526
CHEMBL833	PHWBOXQYWZNQIN-UHFFFAOYSA-N	5472
CHEMBL843	SUFUKZSWUHZXAV-BTJKTKAUSA-N	5281055
CHEMBL85728	YBRVSVVVWCFQMG-UHFFFAOYSA-N	7577
CHEMBL869	IAIWVQXQOWNYOU-FPYGCLRLSA-N	5447130
CHEMBL88	CMSMOCZEIVJLDB-UHFFFAOYSA-N	2907
CHEMBL896	ZQDWXGKKHFNSQK-UHFFFAOYSA-N	3658
CHEMBL902	XUFQPHANEAPEMJ-UHFFFAOYSA-N	3325
CHEMBL92401	NYMGNSNKLVNMIA-UHFFFAOYSA-N	3748
CHEMBL95	YLJREFDVOIBQDA-UHFFFAOYSA-N	1935
CHEMBL964	AUZONCFQVSMFAP-UHFFFAOYSA-N	3117
CHEMBL986	FPIPGXGPPPQFEQ-OVSJKPMPSA-N	445354
