	CHEMBL101	CHEMBL1064	CHEMBL107	CHEMBL108	CHEMBL1089221	CHEMBL109	CHEMBL11	CHEMBL112	CHEMBL113	CHEMBL1177	CHEMBL12	CHEMBL1200688	CHEMBL1200714	CHEMBL1201082	CHEMBL1201088	CHEMBL1201089	CHEMBL1201093	CHEMBL1201097	CHEMBL1201288	CHEMBL123292	CHEMBL130	CHEMBL1314	CHEMBL1381098	CHEMBL139	CHEMBL1395	CHEMBL1411979	CHEMBL1430	CHEMBL1431	CHEMBL1440	CHEMBL1479	CHEMBL1503	CHEMBL154	CHEMBL1542	CHEMBL1560	CHEMBL1566	CHEMBL15770	CHEMBL159226	CHEMBL16	CHEMBL16068	CHEMBL16073	CHEMBL1609891	CHEMBL1628227	CHEMBL164290	CHEMBL165908	CHEMBL1697693	CHEMBL1697694	CHEMBL1697830	CHEMBL1697856	CHEMBL1790041	CHEMBL190	CHEMBL19224	CHEMBL193	CHEMBL20	CHEMBL203187	CHEMBL2037000	CHEMBL2105617	CHEMBL228514	CHEMBL23	CHEMBL232201	CHEMBL23832	CHEMBL25	CHEMBL26	CHEMBL267345	CHEMBL27	CHEMBL273386	CHEMBL2766015	CHEMBL288958	CHEMBL295416	CHEMBL295698	CHEMBL30	CHEMBL35	CHEMBL351487	CHEMBL374478	CHEMBL384467	CHEMBL388590	CHEMBL40	CHEMBL415	CHEMBL42	CHEMBL421	CHEMBL429	CHEMBL429023	CHEMBL44657	CHEMBL44814	CHEMBL44884	CHEMBL457	CHEMBL459	CHEMBL472	CHEMBL479	CHEMBL49	CHEMBL498	CHEMBL502074	CHEMBL502682	CHEMBL505	CHEMBL505513	CHEMBL514	CHEMBL517	CHEMBL521	CHEMBL521035	CHEMBL54	CHEMBL54349	CHEMBL562	CHEMBL56367	CHEMBL565	CHEMBL572	CHEMBL578	CHEMBL599	CHEMBL6	CHEMBL606759	CHEMBL623	CHEMBL629	CHEMBL633	CHEMBL637	CHEMBL64	CHEMBL643	CHEMBL646	CHEMBL6466	CHEMBL672	CHEMBL686	CHEMBL691	CHEMBL695	CHEMBL71	CHEMBL726	CHEMBL75880	CHEMBL782	CHEMBL8	CHEMBL806	CHEMBL822	CHEMBL83	CHEMBL833	CHEMBL843	CHEMBL85728	CHEMBL869	CHEMBL88	CHEMBL896	CHEMBL902	CHEMBL92401	CHEMBL95	CHEMBL964	CHEMBL986
CHEMBL101	0.0	0.3658299234948061	0.633650690716146	0.297621708382685	0.319868865361777	0.522322752535111	0.340340011348083	0.5326811040272629	0.529703355885476	0.344212008989308	0.46028022314700395	0.350753245968533	0.337929106762036	0.318674233620174	0.333044310155622	0.33590876800540803	0.35036229470943303	0.361327757110269	0.324822748328276	0.7692942276988108	0.331026604336319	0.357561138397494	0.412434380511471	0.47981902048895897	0.34053382099525303	0.47441134255061795	0.402856236200311	0.515441441149197	0.35698264419350495	0.453233708370459	0.605723491635875	0.373364466585283	0.393516821487274	0.43911455635445	0.354995938200752	0.582816074689757	0.34827037737279803	0.308146154786111	0.33799269758730704	0.32495876971525606	0.330139612004074	0.375390728556675	0.335871917352563	0.348807851865834	0.6408375178419959	0.5893582630076779	0.41919903231419503	0.37941770024076	0.46414184757401705	0.5931293652139179	0.522872972056008	0.338773023076716	0.336778734470671	0.6778882587785539	0.516078590687065	0.336468825399355	0.318903774166229	0.34198452965156195	0.304400502735112	0.34943603691508895	0.316891367604051	0.423596779618599	0.33224415319569706	0.3644075672872639	0.427943231295641	0.37538518199651005	0.6905090669291442	0.33268470700733194	0.3523417795415711	0.31843770833537605	0.482388235651779	0.293702759443193	0.282471282675945	0.31617608880834697	0.506981925892514	0.617370837452753	0.343552847813949	0.334820280909775	0.367036252464841	0.301382421399837	0.31581587990059395	0.429843440541285	0.32908657114210305	0.35755440744652706	0.333405150535557	0.33037956720191	0.30909690169528803	0.351673223477507	0.31019639920508096	0.3600892702971111	0.459431168005808	0.43338751979623297	0.327946362115834	0.5783566903767701	0.360193994539875	0.46359364562264005	0.36953840597711696	0.352569110597305	0.346311791466714	0.290427514833577	0.313434217361444	0.516895614266746	0.308766860019781	0.44692667841327505	0.382258402389317	0.323217865699001	0.32222892235254197	0.4303143296602929	0.622555920391083	0.35270679486641293	0.30514332062831295	0.46247335919021004	0.388400589647698	0.38153533213041796	0.31781311588924105	0.3326224298241551	0.32890985185764	0.334751552641605	0.334947667963653	0.326826163977053	0.30770186611553	0.35481887797605605	0.319443375861123	0.32750626403092303	0.33135670375042	0.334018420601945	0.34441841255438693	0.359550637664974	0.37066469850408895	0.386047253588247	0.533248686803286	0.351943041491776	0.30787900868213797	0.39450993787673494	0.328497080356296	0.362721470871415	0.38431640452877097	0.348763107233333	0.33893424888457296
CHEMBL1064	0.3658299234948061	0.0	0.643855519927336	0.3881053524520349	0.330082226843911	0.5324148586247609	0.356188950321339	0.587271557586698	0.467066165496805	0.34000857256605105	0.535306314949767	0.371885787288769	0.34622388958269396	0.34532625807461204	0.35673939511611796	0.360544720177079	0.38307028808427296	0.39960209440578404	0.34020248861361696	0.806174833653325	0.34806995097076604	0.364745625088056	0.47782923061914295	0.538489239867503	0.35882451527258097	0.561541293305421	0.351103642389818	0.5208301079063941	0.38032512119527795	0.5063953121730471	0.673367250977806	0.351738041692492	0.428699350713784	0.36189354249327704	0.369917129564066	0.6000724207529411	0.36279103838315896	0.34653050689355	0.35065071927902103	0.33387832745543106	0.329752259517542	0.412217944705515	0.32351440561149	0.366382908810501	0.700922062848153	0.6033592488377839	0.45252287788610207	0.389342878850253	0.434349126784789	0.5369274958694861	0.5350221992158329	0.36635426566168205	0.35973831469354206	0.7013476574802909	0.5536310648365971	0.33653060985392397	0.33558200199414095	0.315437867134213	0.31515639783580396	0.34102122672081103	0.35639254610634796	0.435864559620678	0.37326292000206895	0.39234471440399604	0.468181921874316	0.41479025919876894	0.72211651802894	0.357091200723097	0.418890678607753	0.331308640595573	0.49128647217922294	0.319419910932334	0.347259809399909	0.31108666849774497	0.605939529755418	0.682624254258362	0.37192480525478205	0.3622691245479461	0.36308613746939705	0.371788177839171	0.3321247194365539	0.41509361626886604	0.345143783901733	0.361756145474803	0.352810465742543	0.34564110797907205	0.333515381376031	0.38082935988334904	0.328140033027288	0.3608320743226261	0.494171198439596	0.47193609263912	0.34290683086893103	0.581404716944343	0.416106719422746	0.47676090415153705	0.35108243664207006	0.36920623264597296	0.3547214868218189	0.292346507578291	0.355411197495846	0.544431461532849	0.322227926900094	0.5324302611599979	0.39195354142978006	0.328384184634776	0.34170333118877905	0.462902076498675	0.64728033425907	0.344466123239479	0.334349834333143	0.46198138859464205	0.44265624956252203	0.36182214661288103	0.334855124157859	0.377111433997868	0.33582197317998497	0.338167065540388	0.34059130603692195	0.335176958420227	0.364822280927943	0.34843508782717303	0.40731263090437203	0.317533765392834	0.34231526180660193	0.44208824907442207	0.339610963103185	0.366720972896502	0.37493495923675796	0.41208247710101004	0.550268516364964	0.362772829851868	0.368114566894285	0.40990006084982394	0.340029889304991	0.394898466199623	0.39840863112243197	0.381051762819568	0.355609653085476
CHEMBL107	0.633650690716146	0.643855519927336	0.0	0.6608929866711519	0.6333374489514471	0.7033671220003741	0.658806763198821	0.494426819326269	0.6771519194295579	0.660078030383884	0.531172101805955	0.66433092188984	0.657025715389328	0.622111827994527	0.649409758167953	0.653386815022387	0.639878549153739	0.611524090169316	0.6426931753554661	0.8471187886028171	0.6260685881997691	0.6757670135936011	0.6118894397024139	0.6218785724150239	0.667181007634255	0.660678286027478	0.709473635741752	0.6485597304762989	0.678495416180481	0.60816506103446	0.6815384963422161	0.6717436460152281	0.623815940868694	0.730099897659856	0.6507479046541329	0.502158384973932	0.642745127581371	0.655246300536089	0.6493805751658139	0.613916524203866	0.647896216276874	0.6648452302511	0.619201447745872	0.66198678102885	0.7313436740021629	0.7110690346259939	0.5705497141989411	0.6676366790912739	0.6532979363881589	0.624489799410636	0.6660506044470781	0.5590452954816091	0.660561361201047	0.7761654651775209	0.615572320713892	0.641769151812816	0.653579422875578	0.640587826220159	0.63478933177398	0.6282577405286409	0.664122496640978	0.62415713150403	0.613041524170423	0.6031799051840551	0.5911630106769039	0.5718794151697829	0.7357501042734599	0.6546742541001039	0.623052220572322	0.643806943791966	0.582942537157	0.602182162225614	0.646818860120554	0.623483696869894	0.666531311082866	0.7609177063324991	0.663096442413513	0.591220705725984	0.665212119596527	0.6310924781475771	0.636403523580209	0.6155196162564439	0.643490602817386	0.652086274123329	0.660501777359456	0.652558177141466	0.647843223809083	0.642272825242535	0.5835400478183771	0.66214368567492	0.590950514224366	0.653704503886757	0.654797661923286	0.684450215798315	0.645928527520196	0.631404870427011	0.676591299127699	0.667388299881421	0.657536067354365	0.61577491951207	0.6429973639002591	0.644576339699396	0.636345853033984	0.637710356599405	0.653180606437162	0.644484039550457	0.640057047563911	0.613733866011271	0.7356592554854972	0.6613740281608461	0.6414999971931751	0.656763178630071	0.670087797496838	0.6643934530976761	0.636949157172583	0.642594677805684	0.65600873915587	0.644364273867635	0.658708838628218	0.640773836807656	0.640061839243125	0.645913605374946	0.653501692363287	0.633614662444971	0.647812077504647	0.638261936116028	0.6511915597605661	0.675506886624352	0.6891550586492671	0.614089951020006	0.630440075131386	0.626483623603552	0.663897691859089	0.657860492602918	0.6499603164861829	0.6473721446673171	0.63538044844999	0.644846428283008	0.657059354974134
CHEMBL108	0.297621708382685	0.3881053524520349	0.6608929866711519	0.0	0.291758604309419	0.5358178893665461	0.31263457139799106	0.53107839707872	0.5661693196624661	0.31126185478116697	0.44967255850482896	0.313956794650971	0.310370525724967	0.30614604712347	0.30227377307327397	0.30238592484786103	0.33922557926418	0.396837952158225	0.28682262940324393	0.781893697464937	0.30975736862660197	0.324902245554429	0.40481082070558794	0.473509058285779	0.309372297197877	0.5180199547615271	0.392844370561081	0.568421267316597	0.309917866273687	0.5016468490207391	0.61985277012427	0.37419188824267996	0.42330244582196896	0.441011812837748	0.329500747756977	0.600038290124276	0.344752205119208	0.24269839049637698	0.296652898801526	0.290483904963938	0.294085912826351	0.3628262291601	0.30578733673239505	0.299826508773198	0.614581468214302	0.601872320098006	0.44267342665952897	0.3482593860743611	0.502566000224662	0.624576082784328	0.534090219884461	0.34873781192693604	0.28303591347428897	0.6957602128931689	0.549036615993106	0.349879383864232	0.286631174885579	0.37340480745853705	0.30102023042370196	0.355020938594771	0.331600767959715	0.463045863170738	0.358558222910251	0.41073598104347797	0.484351732688529	0.38862744347248906	0.716042480042935	0.29578719941411996	0.37957647945221995	0.28425359025344105	0.5056716299117949	0.28404905718674395	0.276573504976071	0.326338040920389	0.5206942228714709	0.6162992950842071	0.307890523755865	0.36023336555136604	0.332323855485286	0.28381009712511	0.28789474259774295	0.47598971910585297	0.283210651336731	0.3757501129515371	0.301498675697016	0.28993470741160304	0.275023784042705	0.32823970129687297	0.344676687563358	0.342881081366497	0.504470414465036	0.45797710248639295	0.302898499227918	0.623210081473568	0.313984987789243	0.514028080380977	0.343907533463877	0.319574861538884	0.310263358557708	0.282032099797868	0.27971803370669	0.5407118337568301	0.27710195994916	0.48237848972618697	0.37664326469270093	0.28976040552931803	0.289026611348513	0.443126467590843	0.640813426004493	0.341907997718045	0.27776744615469606	0.516136643506367	0.358374471821599	0.41349228832769497	0.263652461073257	0.27171664996468103	0.293053511620458	0.312864883775031	0.304753794736149	0.29490910055408	0.267558915941575	0.328493630487168	0.30170055007364	0.336694881493487	0.29420245891001195	0.35180758813668495	0.318921966335586	0.33780809261432393	0.34096468160278803	0.43646138579198396	0.5857974222760021	0.334285004591078	0.251960627139936	0.411786522478091	0.301006542062701	0.36070232441577704	0.401342372096812	0.295934456839579	0.313801553555785
CHEMBL1089221	0.319868865361777	0.330082226843911	0.6333374489514471	0.291758604309419	0.0	0.501463652733407	0.272289253835936	0.530017549396506	0.511693050126887	0.27070137486029106	0.48230740789703996	0.272065847229078	0.269717745059277	0.271462989497777	0.26478187236357303	0.27086453988452597	0.30943212860122604	0.366573469915867	0.245010752332214	0.761592752097439	0.266656755897421	0.28895016137365603	0.401721394572586	0.451654471759526	0.269874550229281	0.5248484849372821	0.333993932479893	0.5376848267764021	0.28389327041511797	0.4824757202907729	0.6253950145126279	0.282305307649089	0.404824677834133	0.3655866136727	0.289655624472709	0.563518797317336	0.29923730608793897	0.249133832802248	0.262302219481814	0.250270288692426	0.22438317672239103	0.33817267137456497	0.27775359807127004	0.256046669856245	0.62123341384038	0.588551133391584	0.403067467129446	0.319477699552908	0.446526947065393	0.580788499048516	0.511086630966113	0.296884162848584	0.25928702090022	0.670255360216452	0.511492871550947	0.32342867980771	0.25208991193548197	0.32075829652986	0.263947081735427	0.30462328449469	0.27812546360635104	0.44634905538813896	0.328324513450054	0.37260056323606394	0.44980391715658397	0.350444822430271	0.7044029243155	0.236740332824685	0.40475137370076003	0.26166156297784804	0.45585618466798	0.25927533083404897	0.25557587495767603	0.283881082818922	0.540743753706758	0.637134397154339	0.268246745130937	0.3298473060579	0.2822753763466189	0.305454760961139	0.24730214544032397	0.414262854005671	0.241080420738531	0.3339471744873	0.24928034789576	0.25234098033937397	0.234316002453054	0.329501945075666	0.31018846691691904	0.28216684334318204	0.458874360058886	0.430177302981465	0.27042107232589396	0.5786029039354549	0.316274231770487	0.4804668611736671	0.278949933940373	0.28045092519603004	0.267506648292482	0.23128549641888	0.287842614085777	0.526851223007351	0.22820008037409903	0.496915205394685	0.316918253299258	0.258985354706199	0.23089590291077397	0.42089403417730503	0.640470609998119	0.30009424032342796	0.243346047272897	0.47916445690910203	0.372548908351845	0.374374102283706	0.22996436789838395	0.258972785818733	0.24103612641465302	0.25971686291694396	0.26846371031155	0.274182476658776	0.26598118564893697	0.26539981598584195	0.31542835111528306	0.288759002432063	0.26517035613145395	0.397685322412038	0.29124245997222403	0.28772626906321	0.29222909391637003	0.39290632421187394	0.531199149047281	0.292436919248456	0.261128495223915	0.375458600448416	0.256144541867121	0.331245346293794	0.358794167901275	0.272052725443445	0.263662752572818
CHEMBL109	0.522322752535111	0.5324148586247609	0.7033671220003741	0.5358178893665461	0.501463652733407	0.0	0.516159890215351	0.591128721724709	0.641614278238577	0.524991133404065	0.615822996791622	0.5189633018149129	0.5138345717582871	0.517273086527242	0.515381478662616	0.513425003197711	0.538925342670753	0.539540896800742	0.512497632573964	0.8873328667083371	0.516578399358972	0.5304115518325011	0.59645838823511	0.591301971070592	0.515553222289827	0.647176162153284	0.53997429638838	0.6586018904976341	0.5342506709522721	0.618559065539978	0.7613458013139829	0.50904500004552	0.5675282076531399	0.551765431369304	0.538669629867506	0.699993213349552	0.505446015780178	0.510406738235639	0.523392096006832	0.50521232814204	0.497635919528195	0.514018999037342	0.511540846873622	0.517356139904521	0.7731845805195721	0.716125789189018	0.5961844447147671	0.5504860218693051	0.5707321572947789	0.6790068624050911	0.6535230920602989	0.483225269331211	0.529156613769586	0.7675022040811379	0.6520151552412471	0.5246965061719029	0.50995901873065	0.513267934345536	0.517427853496235	0.540206104694902	0.48936762069964707	0.59509257992993	0.515574937436855	0.527227944757037	0.604441375288546	0.54518754759176	0.828047868581746	0.5066346051048739	0.545060590205356	0.512604596311312	0.610913786876063	0.5057934129135779	0.5043961272220879	0.507219702292696	0.688916930234137	0.7655788294695429	0.5188590085265771	0.523355107375113	0.518058824331061	0.51257072430693	0.507062278552172	0.556531314834087	0.5032152051278039	0.512701602526568	0.49698381090859495	0.5160980239626141	0.51330012903394	0.5689240300096851	0.5191970214288529	0.514059478620281	0.6045143519621539	0.581278054978661	0.502348725235336	0.7184771674719459	0.549271880473189	0.611029460033723	0.523742501776382	0.5258611441299821	0.502270552786991	0.49715280075408796	0.544798241201587	0.676394567868814	0.504449560996474	0.622458935880974	0.519749720675916	0.522579668326656	0.504683955582685	0.598828335040464	0.778236396899039	0.509926845583554	0.511432743470323	0.600295151390094	0.4719155051196	0.545000213522166	0.512023500714378	0.511748642369389	0.514147646946878	0.509132052285219	0.524799479542273	0.5144031720385349	0.524215831336078	0.495963982267935	0.531761430644206	0.508221809737991	0.5257782730873879	0.547604129132789	0.523626825745614	0.521818217033947	0.522160381734476	0.570792005382837	0.6494810684133271	0.523295691654803	0.520935563592257	0.547917448194966	0.504542745921277	0.528843562693886	0.5342201790839629	0.5240589314867371	0.512587584452127
CHEMBL11	0.340340011348083	0.356188950321339	0.658806763198821	0.31263457139799106	0.272289253835936	0.516159890215351	0.0	0.533639384128851	0.524284117068075	0.255659680980464	0.501773152491814	0.25835940438005606	0.26537638407441394	0.269611771692168	0.247769556065435	0.259201593559449	0.320303889997325	0.37330623821677794	0.240019513457505	0.7683129344078371	0.25835077877127105	0.27883091198725396	0.434683018988735	0.49339803620144396	0.256045811478502	0.541285265788953	0.32190040607769205	0.558961305289556	0.26433615312931	0.485114269274839	0.652720761608548	0.322712378726266	0.41283140004875607	0.378946372086825	0.27340728764516	0.609391144853084	0.297633502269658	0.248458196300507	0.264009687795107	0.25377198970528503	0.236720642711074	0.33004480562168104	0.295352608217489	0.248414369175114	0.6264189438812371	0.6064741841776079	0.422449724019298	0.3235589417615711	0.43785245058649197	0.6001432486342231	0.535281402259371	0.311150666488549	0.257622161863609	0.6800077677433771	0.540903390635999	0.318968489989895	0.246139214998181	0.31488484730252503	0.30078847408042	0.3455592322702751	0.282082193692547	0.451416171447389	0.33462343201025896	0.38333578518661	0.47733654686381505	0.361577226285012	0.741676814267468	0.277486954060851	0.4217836613069121	0.26554615848436103	0.478895257235002	0.27310588691689397	0.266049333981258	0.32718444648644	0.565829893122056	0.656110980955296	0.23992055071116297	0.34824316349557305	0.273466593537412	0.305664056678331	0.251957207357672	0.41621713644760294	0.22817250643399398	0.3204989863839339	0.234515770293107	0.23762468081662902	0.25289089222586697	0.35831825621396296	0.33428849266489	0.266454963778868	0.5045754132932809	0.45588048689596994	0.24072903186340802	0.6355520015801371	0.302943478772348	0.4853035636123571	0.272878290729697	0.26970345184375605	0.265552280955866	0.263493202345068	0.309301684713519	0.563627500501218	0.246946403793824	0.5161193362746189	0.31090399563397103	0.26381974814232395	0.26982900222198003	0.44180217492849105	0.676956315396024	0.257742040213027	0.240115389485217	0.50739240003191	0.371156354506214	0.36133518045820506	0.24327208143047302	0.263029981930813	0.25032883467490097	0.26165144197800605	0.27179066446356404	0.296272568917609	0.267727569379554	0.26147829247763	0.30846043761249897	0.332373377744303	0.267034141612239	0.400897334052853	0.273577373064424	0.265722413576249	0.272808832577788	0.45140447787270294	0.568891219087085	0.277832398333902	0.27501973885909603	0.365665758642853	0.24662323712686798	0.326141159539114	0.332171080282528	0.265067614728965	0.26132816878048004
CHEMBL112	0.5326811040272629	0.587271557586698	0.494426819326269	0.53107839707872	0.530017549396506	0.591128721724709	0.533639384128851	0.0	0.6441209139063271	0.542478572084114	0.381987177057909	0.544593272936086	0.5410822492835821	0.5103881790347461	0.526930626182497	0.5392266223657679	0.5420063825418621	0.52384108742802	0.529248084729775	0.7854590516719241	0.494993566694166	0.5745806920577479	0.477585722716227	0.49285214734952504	0.552315273026428	0.548084046054586	0.6107925893647049	0.6068367846580041	0.548549811604655	0.520442172469476	0.590927666712039	0.573809375825255	0.482808605060144	0.660823497817397	0.525036938948957	0.568287042802551	0.527980417127521	0.524508578511503	0.542896984165251	0.504797508321739	0.536379233991669	0.527832646822989	0.5330114909925721	0.547990595363678	0.6672915151869361	0.6773042111681579	0.483604707661358	0.572016590885907	0.562208549258765	0.619992506526687	0.6392724023103511	0.46028336005991793	0.547573888751829	0.6591272034459189	0.5536193196116701	0.547892936484805	0.547865300988964	0.539846838473979	0.536123443702387	0.538874427224727	0.557559385550143	0.566630351038695	0.506692168066524	0.5193941200104629	0.534144090906761	0.438980665568794	0.7681761927565509	0.538692544912692	0.496603661494884	0.544536889581179	0.5220289126755661	0.490734455830219	0.518802754874945	0.552137773673622	0.539379846397065	0.668355261240225	0.535700494853225	0.49199076640614897	0.5504666036478489	0.49081255281853897	0.523133236559216	0.529824462186961	0.513139303803628	0.551742379505426	0.537123441038135	0.531578273090233	0.542066883828264	0.5509588241011569	0.49713282994536495	0.5313455760511311	0.533718504758439	0.5870355044794189	0.532444868065328	0.6882941991563679	0.487996454740512	0.5753473368422729	0.540327067906412	0.548879066230965	0.5288605387949421	0.513216502384966	0.5458311128469789	0.630358295603806	0.537278875950229	0.499374905307581	0.535173132444676	0.536188051665845	0.52284698016411	0.558647932726136	0.7359314369546379	0.529445475025828	0.53353626760326	0.6201181725575561	0.504985650396049	0.574059965213346	0.526576354158395	0.4923328224468321	0.5479269110296551	0.5209824343101861	0.548998978634032	0.544943474773479	0.525780290672069	0.5217592635612229	0.522171193994879	0.5628358681766271	0.541546978791085	0.483301779505525	0.534088160644898	0.551096707606836	0.559157286917965	0.55155922999267	0.595845408823601	0.487025871783838	0.535997389897818	0.556625058309875	0.531701057254722	0.540492569176377	0.5124653050247729	0.522331863648	0.539866953920959
CHEMBL113	0.529703355885476	0.467066165496805	0.6771519194295579	0.5661693196624661	0.511693050126887	0.641614278238577	0.524284117068075	0.6441209139063271	0.0	0.528686795761746	0.634205740832188	0.533370044096539	0.51524389905831	0.514809096793882	0.523096562131796	0.525691546442876	0.542363527440292	0.520439065446455	0.51105922937708	0.8123217217425691	0.506983308076409	0.5291209940293979	0.567154904776386	0.607202669972565	0.524806219665413	0.585475170397306	0.491861661004122	0.565020636157171	0.5454566010087	0.545418744934763	0.7145506485022141	0.49428987267175206	0.529437236561396	0.49343929685173704	0.53667616468794	0.630302094201634	0.47940755671622	0.535489573516868	0.530417269963794	0.503664886742533	0.502260433662468	0.54293817679915	0.4919501786297029	0.526894478624327	0.7556307181725921	0.6870026879294341	0.5194020391423539	0.54740975907652	0.48425535323099894	0.370835536319063	0.604002571004459	0.49109789352902206	0.534037713214385	0.698315806786909	0.559837974256151	0.488940968702485	0.516082903242137	0.467106930652609	0.505479861507231	0.504183001350629	0.519333913058821	0.526209167654313	0.504750310855156	0.467055934127186	0.538262399196819	0.5011255013980779	0.760622379512555	0.534486073135008	0.5543573780957679	0.513886641334052	0.5059179630857571	0.48129182180164204	0.529866411566474	0.496841793376735	0.659206942353345	0.7486179581094841	0.53522506094694	0.47821998995538006	0.53421070594955	0.515622020306134	0.509811901613311	0.509941726681654	0.52155264326873	0.503825275174898	0.51898283991343	0.524437287287865	0.524240662686331	0.552855821714042	0.469060803703184	0.5233944872791589	0.512654106013453	0.539169388455656	0.515110139027519	0.618162569864709	0.5652560514084809	0.511197967988627	0.529467831521197	0.5339092389522949	0.516830268407825	0.47953330217615997	0.538981320594927	0.6048862578232471	0.506868671632356	0.592434478976221	0.51238710415941	0.521416114979373	0.520014039252575	0.5868807036903411	0.7156474897103299	0.520640561244734	0.514898623343274	0.5011201612248579	0.5669050980855059	0.49554869028724496	0.524569618905269	0.5414905069899381	0.521386071095942	0.508810375215019	0.525327974689556	0.508970886379899	0.532175666444644	0.504374494752466	0.5579416249830921	0.468294421355925	0.51589565281967	0.5608597887656871	0.524671887285881	0.5239607109144621	0.5376271024394039	0.516730254038642	0.582256456103458	0.514137418000075	0.537495298659353	0.53140023890009	0.5004821914722359	0.5282039710155371	0.48838958776761604	0.541155171981871	0.531537879795704
CHEMBL1177	0.344212008989308	0.34000857256605105	0.660078030383884	0.31126185478116697	0.27070137486029106	0.524991133404065	0.255659680980464	0.542478572084114	0.528686795761746	0.0	0.510330457608224	0.260270648879529	0.259263526251502	0.262554932748338	0.24765305869953502	0.259992273947243	0.316915202560475	0.38282300891598203	0.23579895016157001	0.754745824605635	0.259768983598574	0.271397904997896	0.43701011948857704	0.503616481059716	0.257269432058157	0.553388209585137	0.302271254120855	0.5482277638310811	0.265543418636914	0.49615602726765795	0.6498017024885551	0.33114626390997903	0.392313445825961	0.36627623859925	0.246689889773538	0.604411240271402	0.30800150715443797	0.23634211980354503	0.24481398299264498	0.24988456063156894	0.225464657267523	0.3660199449812271	0.277761349987646	0.248943268656286	0.615484394812525	0.581184645190858	0.429153440815495	0.310813766533292	0.44481456803495706	0.57733760666661	0.520452749969331	0.321317888983019	0.24740407133512698	0.675814719945814	0.53532070967314	0.311619177454467	0.238909633801483	0.31389182547345196	0.288832057942414	0.322494815631948	0.290521639420378	0.46470466996952603	0.34508542241507	0.3981187669934911	0.470918152791888	0.368724737790978	0.71365344122271	0.277412032363291	0.43506514675283603	0.23809481700847	0.470373824606046	0.26816626144736	0.274876578971276	0.31600339721741805	0.55980474167095	0.637476744045098	0.261463517043254	0.35490176602744294	0.266455050239481	0.319235419645178	0.234406234505013	0.41877542724977596	0.22487044601415399	0.337456799429137	0.244447257988213	0.223473086310833	0.23578083474054395	0.32934990352001	0.338892416639794	0.25721448399813	0.520099089029885	0.44194584367944395	0.25950898519720605	0.619033325342699	0.29857751504664304	0.495035220359799	0.272551265147406	0.264176718045996	0.264677102461575	0.260694360530877	0.29257922270790904	0.546285189987804	0.23067282425039	0.523418011701376	0.314613046955356	0.22754507774856797	0.270920539153058	0.419035365245067	0.64670624249889	0.257964394647985	0.23072077927953102	0.51603876773876	0.385411496808409	0.37735304565408506	0.22708567971463603	0.26723095623543297	0.23361867785826299	0.250034969974777	0.246795220281625	0.276201987309661	0.272713334568923	0.271412796700341	0.330526552128034	0.332075557885211	0.247352059475207	0.42091142681344895	0.23704953478134	0.272004187468252	0.28264831647790006	0.45126714247603605	0.565693667226866	0.276138270846968	0.277768839370327	0.38599503483893893	0.23721934873707898	0.328655649815783	0.33996651302645	0.26184832913302997	0.25668115103431893
