Use in Big Data analysis?	Study_ID	Location	Dataset	Project	Species	Cell model	Group	Platform	CustomCDF	Remarks	# compounds	downloaded	normalized
Yes		diXa data warehouse	DIXA-028	Predictomics	human	HepG2		Affymetrix Human Genome U133A 2.0 Array					
Yes		diXa data warehouse	DIXA-028	Predictomics	human	primary hepatocytes		Affymetrix Human Genome U133A 2.0 Array					
